id,severity_type,fault_severity,location
7925,severity_type 1,,location 1008
12798,severity_type 2,0.0,location 1008
11394,severity_type 2,,location 1008
17869,severity_type 2,,location 1008
10129,severity_type 2,,location 1008
13354,severity_type 2,2.0,location 1008
16917,severity_type 2,,location 1008
17425,severity_type 1,,location 1008
18486,severity_type 1,,location 1008
6909,severity_type 2,,location 1008
12026,severity_type 2,,location 1008
16064,severity_type 2,2.0,location 1008
11119,severity_type 2,1.0,location 1008
8378,severity_type 1,0.0,location 1008
894,severity_type 2,,location 1008
6648,severity_type 2,0.0,location 1008
372,severity_type 1,,location 1008
17066,severity_type 2,,location 1008
821,severity_type 2,1.0,location 1008
608,severity_type 2,1.0,location 1008
4535,severity_type 2,0.0,location 1008
4640,severity_type 2,2.0,location 1008
18296,severity_type 2,,location 1008
6904,severity_type 2,,location 1008
5059,severity_type 2,,location 1008
15102,severity_type 2,2.0,location 1008
11286,severity_type 2,0.0,location 1008
13438,severity_type 1,0.0,location 1008
7851,severity_type 2,2.0,location 1008
16336,severity_type 2,,location 1008
17470,severity_type 2,1.0,location 1008
8388,severity_type 2,,location 1008
4141,severity_type 2,,location 1008
4163,severity_type 2,,location 1008
13077,severity_type 2,,location 1008
15343,severity_type 2,2.0,location 1008
6475,severity_type 1,,location 1008
12214,severity_type 2,,location 1008
6623,severity_type 2,,location 1008
1551,severity_type 2,,location 1008
13260,severity_type 2,,location 1008
12932,severity_type 2,,location 1008
4556,severity_type 2,,location 1008
8556,severity_type 2,,location 1008
14449,severity_type 2,,location 1008
18376,severity_type 2,,location 1008
17745,severity_type 2,1.0,location 1008
17963,severity_type 2,,location 1008
10014,severity_type 2,,location 1008
9879,severity_type 2,1.0,location 1008
1718,severity_type 2,1.0,location 1008
13376,severity_type 1,,location 1008
17645,severity_type 2,,location 1008
2214,severity_type 2,1.0,location 1008
12194,severity_type 2,0.0,location 1008
12607,severity_type 2,,location 1008
378,severity_type 2,,location 1008
14616,severity_type 2,,location 1008
1326,severity_type 2,,location 1008
15085,severity_type 2,2.0,location 1008
6339,severity_type 2,,location 1008
4151,severity_type 2,0.0,location 1008
17950,severity_type 2,,location 1008
15427,severity_type 2,,location 1008
200,severity_type 2,2.0,location 1008
18050,severity_type 2,1.0,location 1008
3547,severity_type 2,,location 1008
15192,severity_type 2,,location 1008
13832,severity_type 2,1.0,location 1008
2467,severity_type 2,,location 1008
6369,severity_type 2,,location 1008
12887,severity_type 1,,location 1008
8366,severity_type 2,1.0,location 1008
2425,severity_type 1,1.0,location 1008
8106,severity_type 1,2.0,location 1008
12935,severity_type 2,,location 1008
4623,severity_type 2,1.0,location 1008
222,severity_type 2,,location 1008
9059,severity_type 2,0.0,location 1008
15381,severity_type 2,2.0,location 1008
13154,severity_type 1,0.0,location 1008
665,severity_type 2,1.0,location 1008
10110,severity_type 2,2.0,location 1008
1716,severity_type 2,1.0,location 1008
3951,severity_type 2,,location 1008
17731,severity_type 2,,location 1008
16403,severity_type 2,,location 1008
8501,severity_type 2,,location 1008
15362,severity_type 2,,location 1008
9870,severity_type 2,,location 1008
8831,severity_type 2,0.0,location 1008
5961,severity_type 2,2.0,location 1008
9364,severity_type 2,,location 1008
18490,severity_type 2,0.0,location 1008
9088,severity_type 1,,location 1008
2865,severity_type 1,0.0,location 1009
16514,severity_type 5,0.0,location 1009
18077,severity_type 1,,location 1009
14,severity_type 5,,location 1009
13453,severity_type 1,0.0,location 1009
12828,severity_type 1,0.0,location 1009
6359,severity_type 2,,location 101
5881,severity_type 2,,location 101
13337,severity_type 2,0.0,location 101
14986,severity_type 2,,location 1010
12978,severity_type 1,0.0,location 1010
1553,severity_type 1,0.0,location 1010
487,severity_type 1,0.0,location 1010
5559,severity_type 1,0.0,location 1010
8037,severity_type 1,,location 1010
5027,severity_type 1,,location 1010
15133,severity_type 1,,location 1010
5068,severity_type 1,,location 1010
11826,severity_type 1,0.0,location 1010
7409,severity_type 1,1.0,location 1010
13614,severity_type 1,,location 1010
11313,severity_type 1,1.0,location 1010
8573,severity_type 1,,location 1010
15618,severity_type 1,,location 1010
8730,severity_type 1,,location 1010
2841,severity_type 1,,location 1010
8263,severity_type 2,1.0,location 1010
8193,severity_type 1,1.0,location 1010
5821,severity_type 1,,location 1010
14864,severity_type 1,,location 1010
7818,severity_type 1,0.0,location 1010
6636,severity_type 1,,location 1010
3113,severity_type 2,0.0,location 1010
15555,severity_type 2,0.0,location 1010
15974,severity_type 1,,location 1010
13273,severity_type 2,1.0,location 1010
10465,severity_type 1,,location 1010
1491,severity_type 1,,location 1010
7546,severity_type 1,,location 1010
8854,severity_type 1,,location 1010
14462,severity_type 1,0.0,location 1010
2734,severity_type 1,0.0,location 1010
6446,severity_type 1,,location 1010
11239,severity_type 1,,location 1010
6193,severity_type 2,,location 1010
3765,severity_type 2,0.0,location 1010
12944,severity_type 2,0.0,location 1010
4302,severity_type 2,,location 1010
16468,severity_type 2,0.0,location 1010
12624,severity_type 2,,location 1010
17530,severity_type 1,,location 1010
7503,severity_type 1,1.0,location 1010
6457,severity_type 1,,location 1010
16725,severity_type 1,,location 1010
5029,severity_type 1,0.0,location 1011
16681,severity_type 1,,location 1011
11843,severity_type 1,,location 1011
6231,severity_type 1,,location 1011
15803,severity_type 1,,location 1011
13480,severity_type 1,1.0,location 1011
11928,severity_type 1,1.0,location 1011
8963,severity_type 1,,location 1011
10844,severity_type 1,1.0,location 1011
13067,severity_type 1,2.0,location 1011
9769,severity_type 1,,location 1011
15970,severity_type 1,1.0,location 1011
6715,severity_type 1,1.0,location 1011
5206,severity_type 5,,location 1011
16675,severity_type 1,,location 1011
5468,severity_type 1,1.0,location 1011
2854,severity_type 5,1.0,location 1011
8225,severity_type 1,,location 1011
15497,severity_type 2,,location 1012
10940,severity_type 1,,location 1012
8120,severity_type 2,,location 1013
15689,severity_type 1,,location 1013
5597,severity_type 1,,location 1013
4315,severity_type 2,,location 1013
11976,severity_type 1,0.0,location 1013
268,severity_type 1,,location 1013
11609,severity_type 2,,location 1013
15967,severity_type 1,,location 1014
2184,severity_type 1,0.0,location 1014
17071,severity_type 4,0.0,location 1014
13185,severity_type 1,,location 1014
17329,severity_type 1,,location 1014
9509,severity_type 1,,location 1014
587,severity_type 1,,location 1014
14586,severity_type 1,,location 1014
3967,severity_type 1,,location 1014
4941,severity_type 2,1.0,location 1014
16781,severity_type 1,1.0,location 1014
15684,severity_type 1,,location 1014
525,severity_type 1,,location 1014
17856,severity_type 1,,location 1014
6932,severity_type 1,0.0,location 1014
9787,severity_type 1,1.0,location 1014
4740,severity_type 1,1.0,location 1014
4053,severity_type 1,,location 1014
6376,severity_type 1,,location 1014
13330,severity_type 1,0.0,location 1014
8036,severity_type 1,0.0,location 1014
3895,severity_type 1,,location 1014
333,severity_type 1,,location 1014
16024,severity_type 1,1.0,location 1014
10696,severity_type 1,1.0,location 1014
17505,severity_type 1,,location 1014
4045,severity_type 1,,location 1014
18399,severity_type 1,2.0,location 1014
11874,severity_type 1,,location 1014
17062,severity_type 1,,location 1014
8042,severity_type 1,,location 1015
11725,severity_type 1,,location 1015
750,severity_type 1,,location 1015
7315,severity_type 1,,location 1015
16339,severity_type 1,0.0,location 1015
2212,severity_type 1,,location 1015
7545,severity_type 1,,location 1015
14767,severity_type 1,,location 1015
5282,severity_type 1,1.0,location 1015
12389,severity_type 1,0.0,location 1015
1380,severity_type 1,1.0,location 1015
10409,severity_type 1,0.0,location 1015
10658,severity_type 1,0.0,location 1015
6144,severity_type 2,,location 1015
10370,severity_type 1,,location 1015
17852,severity_type 1,,location 1015
5032,severity_type 1,1.0,location 1015
5370,severity_type 1,1.0,location 1015
12273,severity_type 1,,location 1015
1998,severity_type 1,,location 1015
17379,severity_type 1,,location 1015
252,severity_type 1,,location 1015
14875,severity_type 1,,location 1015
6834,severity_type 1,1.0,location 1015
9158,severity_type 1,,location 1015
8694,severity_type 1,1.0,location 1015
7348,severity_type 1,,location 1015
12661,severity_type 1,,location 1015
7171,severity_type 1,,location 1015
4733,severity_type 1,,location 1015
1931,severity_type 1,,location 1015
14047,severity_type 2,,location 1015
611,severity_type 1,,location 1015
9354,severity_type 2,,location 1015
15287,severity_type 2,0.0,location 1015
13403,severity_type 1,,location 1015
982,severity_type 4,,location 1015
8581,severity_type 4,,location 1015
7504,severity_type 1,1.0,location 1016
17653,severity_type 1,1.0,location 1016
2741,severity_type 1,2.0,location 1016
10977,severity_type 1,0.0,location 1017
8359,severity_type 1,0.0,location 1017
7385,severity_type 1,2.0,location 1017
8467,severity_type 1,,location 1017
11740,severity_type 1,,location 1017
9778,severity_type 1,1.0,location 1017
15626,severity_type 1,1.0,location 1017
3949,severity_type 1,,location 1017
3663,severity_type 4,,location 1017
17209,severity_type 1,,location 1017
400,severity_type 1,1.0,location 1017
4861,severity_type 1,1.0,location 1017
805,severity_type 1,,location 1017
11989,severity_type 1,,location 1017
748,severity_type 1,0.0,location 1017
10508,severity_type 1,,location 1017
5977,severity_type 1,1.0,location 1017
2090,severity_type 2,,location 1017
5257,severity_type 1,,location 1017
8159,severity_type 1,1.0,location 1017
1135,severity_type 1,,location 1017
6679,severity_type 1,,location 1017
6313,severity_type 1,,location 1017
1231,severity_type 1,,location 1017
1706,severity_type 4,,location 1017
16741,severity_type 2,,location 1018
4629,severity_type 1,0.0,location 1018
3491,severity_type 1,,location 1018
9852,severity_type 2,,location 1018
10293,severity_type 1,0.0,location 1018
9596,severity_type 1,,location 1018
5300,severity_type 1,,location 1018
15871,severity_type 1,,location 1018
1566,severity_type 1,0.0,location 1018
4254,severity_type 1,0.0,location 1018
2652,severity_type 1,,location 1018
484,severity_type 1,0.0,location 1018
1588,severity_type 1,,location 1018
10561,severity_type 1,0.0,location 1018
7174,severity_type 2,,location 1018
12209,severity_type 2,,location 1018
17627,severity_type 1,0.0,location 1018
3701,severity_type 1,,location 1018
15517,severity_type 1,1.0,location 1018
16136,severity_type 1,,location 1018
9720,severity_type 1,,location 1018
5184,severity_type 1,1.0,location 1018
11581,severity_type 1,0.0,location 1018
6327,severity_type 1,,location 1018
16645,severity_type 1,,location 1018
1704,severity_type 1,1.0,location 1018
4279,severity_type 1,0.0,location 1018
12527,severity_type 1,,location 1018
47,severity_type 1,,location 1018
5617,severity_type 1,,location 1018
8530,severity_type 1,,location 1018
11653,severity_type 1,0.0,location 1018
13920,severity_type 1,,location 1018
3191,severity_type 1,,location 1018
6439,severity_type 1,,location 1018
15350,severity_type 2,0.0,location 1018
5512,severity_type 2,,location 1018
16346,severity_type 1,,location 1018
12308,severity_type 1,0.0,location 1018
14668,severity_type 2,,location 1018
16441,severity_type 1,,location 1018
16562,severity_type 1,,location 1018
9919,severity_type 1,,location 1018
12731,severity_type 1,,location 1018
17525,severity_type 1,1.0,location 1018
2829,severity_type 1,1.0,location 1018
13065,severity_type 1,0.0,location 1018
13888,severity_type 2,,location 1018
2067,severity_type 1,0.0,location 1018
17949,severity_type 1,,location 1018
886,severity_type 1,0.0,location 1018
18120,severity_type 2,0.0,location 1018
17434,severity_type 1,,location 1018
4884,severity_type 1,,location 1018
7017,severity_type 2,1.0,location 1018
18407,severity_type 2,,location 1018
17867,severity_type 1,,location 1018
17134,severity_type 2,,location 1018
14131,severity_type 1,,location 1018
6517,severity_type 1,,location 1018
10666,severity_type 1,0.0,location 1018
14592,severity_type 1,,location 1018
8759,severity_type 2,0.0,location 1018
7878,severity_type 1,,location 1018
13792,severity_type 2,,location 1018
17833,severity_type 1,,location 1018
14360,severity_type 2,,location 1018
4591,severity_type 2,0.0,location 1019
16142,severity_type 1,,location 1019
628,severity_type 2,,location 1019
893,severity_type 1,0.0,location 1019
11341,severity_type 2,,location 1019
6581,severity_type 2,0.0,location 1019
13606,severity_type 2,0.0,location 1019
10407,severity_type 2,,location 1019
17931,severity_type 2,,location 1019
6564,severity_type 2,,location 1019
9848,severity_type 2,0.0,location 1019
9598,severity_type 1,,location 1019
12282,severity_type 1,,location 1019
15099,severity_type 2,0.0,location 1019
11207,severity_type 1,,location 1019
6160,severity_type 2,0.0,location 1019
12569,severity_type 1,,location 1019
10492,severity_type 2,,location 1019
1126,severity_type 1,0.0,location 1019
3684,severity_type 1,,location 1019
11968,severity_type 1,0.0,location 1019
9372,severity_type 1,0.0,location 1019
1477,severity_type 2,,location 1019
14661,severity_type 1,0.0,location 1019
14997,severity_type 2,,location 1019
2322,severity_type 1,,location 1019
7354,severity_type 1,,location 1019
11981,severity_type 2,,location 1019
7279,severity_type 1,,location 1019
386,severity_type 1,,location 1019
7835,severity_type 1,,location 1019
12590,severity_type 1,2.0,location 1019
4092,severity_type 1,0.0,location 1019
14100,severity_type 2,,location 1019
9722,severity_type 2,1.0,location 1019
12495,severity_type 2,0.0,location 1019
12227,severity_type 1,,location 1019
5693,severity_type 2,2.0,location 1019
13688,severity_type 2,,location 1019
17825,severity_type 2,,location 1019
11878,severity_type 2,,location 1019
13552,severity_type 1,,location 1019
10520,severity_type 1,2.0,location 1019
10137,severity_type 1,1.0,location 1019
855,severity_type 1,2.0,location 1019
17557,severity_type 2,,location 1019
3667,severity_type 2,2.0,location 1019
11352,severity_type 1,2.0,location 1019
13408,severity_type 2,,location 1019
5178,severity_type 2,,location 1019
7372,severity_type 1,,location 1019
5784,severity_type 1,2.0,location 1019
4047,severity_type 2,,location 1019
11367,severity_type 2,,location 1019
17801,severity_type 2,,location 1019
460,severity_type 2,,location 1019
12790,severity_type 2,,location 1019
2999,severity_type 2,,location 1019
5476,severity_type 2,2.0,location 1019
17540,severity_type 1,,location 1019
8880,severity_type 2,,location 1019
13391,severity_type 1,2.0,location 1019
12112,severity_type 2,0.0,location 1019
10676,severity_type 2,,location 1019
11133,severity_type 2,,location 1019
1508,severity_type 2,,location 1019
375,severity_type 1,,location 1019
12473,severity_type 2,2.0,location 1019
3692,severity_type 2,2.0,location 1019
14557,severity_type 1,,location 1019
17724,severity_type 1,0.0,location 1019
8673,severity_type 2,,location 1019
18253,severity_type 2,1.0,location 1019
595,severity_type 2,,location 1019
6565,severity_type 2,,location 1019
17749,severity_type 2,,location 1019
10783,severity_type 2,0.0,location 1019
2216,severity_type 2,,location 1019
15716,severity_type 2,,location 1019
18116,severity_type 1,,location 1019
10572,severity_type 2,,location 1019
8234,severity_type 2,1.0,location 1019
11189,severity_type 1,2.0,location 1019
11895,severity_type 1,,location 1019
4658,severity_type 1,0.0,location 1019
4674,severity_type 2,,location 1019
2991,severity_type 2,,location 1019
6747,severity_type 2,0.0,location 1019
3052,severity_type 2,,location 1019
6990,severity_type 2,,location 1019
5439,severity_type 1,1.0,location 1019
13612,severity_type 1,,location 1019
8173,severity_type 2,,location 1019
6902,severity_type 2,2.0,location 1019
18176,severity_type 1,,location 1019
11790,severity_type 1,0.0,location 1019
15693,severity_type 1,0.0,location 1019
5320,severity_type 1,2.0,location 1019
3877,severity_type 2,,location 1019
13361,severity_type 1,,location 1019
15072,severity_type 2,1.0,location 1019
9280,severity_type 2,,location 1019
3789,severity_type 2,,location 1019
14664,severity_type 1,,location 1019
14647,severity_type 1,,location 1019
9980,severity_type 2,,location 1019
1382,severity_type 2,2.0,location 1019
16456,severity_type 2,,location 1019
13078,severity_type 2,2.0,location 1019
7360,severity_type 2,,location 1019
1493,severity_type 2,,location 1019
5731,severity_type 2,0.0,location 1019
10329,severity_type 1,0.0,location 1019
267,severity_type 2,,location 1019
14087,severity_type 2,,location 1019
13440,severity_type 1,,location 1019
11758,severity_type 2,,location 1019
14439,severity_type 1,2.0,location 1019
8355,severity_type 2,,location 1019
11357,severity_type 2,,location 1019
17017,severity_type 2,2.0,location 1019
5304,severity_type 2,1.0,location 1019
10803,severity_type 2,,location 1019
17568,severity_type 2,,location 1019
4620,severity_type 2,,location 1019
12275,severity_type 2,,location 1019
7146,severity_type 2,,location 1019
11896,severity_type 2,1.0,location 1019
10403,severity_type 2,,location 1019
45,severity_type 2,,location 1019
9928,severity_type 2,2.0,location 1019
2091,severity_type 2,,location 1019
12939,severity_type 2,1.0,location 1019
16012,severity_type 1,,location 1019
1368,severity_type 2,,location 1019
10790,severity_type 1,,location 1019
9911,severity_type 2,,location 1019
14907,severity_type 2,,location 1019
6638,severity_type 2,0.0,location 1019
10857,severity_type 2,1.0,location 1019
4470,severity_type 1,,location 1019
15434,severity_type 1,,location 1019
7667,severity_type 2,,location 1019
3327,severity_type 2,,location 1019
12278,severity_type 2,,location 1019
6267,severity_type 2,,location 1019
17581,severity_type 2,2.0,location 1019
8269,severity_type 2,,location 1019
7055,severity_type 2,,location 102
14032,severity_type 2,0.0,location 102
13543,severity_type 2,,location 102
13341,severity_type 2,0.0,location 102
17440,severity_type 2,0.0,location 102
6379,severity_type 2,,location 102
7864,severity_type 2,,location 102
10047,severity_type 1,,location 102
6837,severity_type 2,0.0,location 102
8007,severity_type 2,,location 102
6931,severity_type 2,,location 102
5846,severity_type 2,,location 102
11038,severity_type 2,0.0,location 102
10687,severity_type 2,,location 102
7866,severity_type 2,,location 102
3881,severity_type 2,,location 102
12143,severity_type 2,0.0,location 102
3066,severity_type 2,,location 102
6689,severity_type 2,0.0,location 102
6387,severity_type 2,,location 102
11651,severity_type 2,1.0,location 102
3864,severity_type 2,,location 102
9441,severity_type 2,1.0,location 102
15640,severity_type 2,,location 102
13801,severity_type 2,0.0,location 102
12836,severity_type 2,,location 102
10058,severity_type 2,,location 102
14839,severity_type 2,,location 102
1810,severity_type 2,0.0,location 102
15538,severity_type 2,,location 102
4217,severity_type 2,,location 102
6838,severity_type 2,0.0,location 102
8619,severity_type 2,,location 102
5714,severity_type 2,0.0,location 102
7137,severity_type 2,0.0,location 102
10001,severity_type 2,,location 102
5785,severity_type 2,0.0,location 102
2162,severity_type 2,,location 102
17358,severity_type 2,,location 102
13837,severity_type 2,0.0,location 102
17034,severity_type 2,0.0,location 102
1933,severity_type 2,,location 102
12182,severity_type 2,,location 102
18421,severity_type 2,,location 102
12104,severity_type 2,,location 102
3431,severity_type 2,1.0,location 102
2437,severity_type 2,0.0,location 102
17751,severity_type 2,,location 102
3429,severity_type 1,,location 102
11150,severity_type 2,,location 102
7952,severity_type 1,0.0,location 102
10593,severity_type 2,0.0,location 102
516,severity_type 2,,location 102
17647,severity_type 2,,location 102
10956,severity_type 2,0.0,location 102
2550,severity_type 2,,location 102
14153,severity_type 4,,location 102
5081,severity_type 2,,location 102
12379,severity_type 4,,location 102
1663,severity_type 1,,location 102
10627,severity_type 2,,location 102
2656,severity_type 2,0.0,location 102
4317,severity_type 4,,location 102
15568,severity_type 4,,location 102
16021,severity_type 2,,location 102
15156,severity_type 2,,location 102
2763,severity_type 2,,location 102
10136,severity_type 2,,location 102
6212,severity_type 1,0.0,location 102
12478,severity_type 2,1.0,location 102
9898,severity_type 2,0.0,location 102
9406,severity_type 2,,location 102
16763,severity_type 4,,location 102
8466,severity_type 2,,location 102
9727,severity_type 2,0.0,location 102
6427,severity_type 4,,location 102
636,severity_type 2,1.0,location 102
17830,severity_type 2,0.0,location 102
5783,severity_type 2,,location 102
11301,severity_type 4,,location 102
1059,severity_type 2,,location 102
8316,severity_type 2,0.0,location 102
13219,severity_type 2,,location 102
8750,severity_type 2,,location 102
15676,severity_type 2,0.0,location 102
17019,severity_type 2,,location 102
13987,severity_type 2,,location 102
8062,severity_type 2,0.0,location 102
4285,severity_type 2,0.0,location 102
7944,severity_type 2,,location 102
10567,severity_type 2,,location 102
3336,severity_type 2,0.0,location 102
5526,severity_type 2,,location 102
3279,severity_type 4,,location 102
